StopUID,StopID,AuthorityID,StopName,StopPosition,StopAddress,Bearing,StationID,City,CityCode,LocationCityCode,UpdateTime,VersionID
NWT10353,10353,5,"{'Zh_tw': '管理中心', 'En': 'Management Center'}","{'PositionLon': 121.45757, 'PositionLat': 25.06374, 'GeoHash': 'wsqqefdwy'}",五工路78號同向(向西),W,235,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10354,10354,5,"{'Zh_tw': '標準廠房', 'En': 'Standard Factory'}","{'PositionLon': 121.45596, 'PositionLat': 25.06496, 'GeoHash': 'wsqqefctb'}",五權一路1號(向北),W,36007,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10355,10355,5,"{'Zh_tw': '五權三五工路口', 'En': 'Wuquan 3 Rd. & Wugong Intersection'}","{'PositionLon': 121.453711, 'PositionLat': 25.065291, 'GeoHash': 'wsqqedzzu'}",五權三路30號(向西),S,1000841,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10356,10356,5,"{'Zh_tw': '勞工活動中心', 'En': 'Labors’ Activity Center'}","{'PositionLon': 121.450092, 'PositionLat': 25.06236578, 'GeoHash': 'wsqqedmqb'}",五工六路16號(向北),W,36006,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10357,10357,5,"{'Zh_tw': '工商展覽中心', 'En': 'Bourgeois Exhibit Center'}","{'PositionLon': 121.4488775, 'PositionLat': 25.06501521, 'GeoHash': 'wsqqeduq7'}",五權路10號對向(向東),N,26,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10358,10358,5,"{'Zh_tw': '世翔', 'En': 'Shixiang'}","{'PositionLon': 121.4512933, 'PositionLat': 25.06806606, 'GeoHash': 'wsqqeew0h'}",五權路35號同向(向東),N,3713,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10359,10359,5,"{'Zh_tw': '五權五工三路口', 'En': 'Wuquan & Wugong 3 Rd. Intersection'}","{'PositionLon': 121.45341, 'PositionLat': 25.06899, 'GeoHash': 'wsqqeextm'}",五權路53號對面(向東),N,36004,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10360,10360,5,"{'Zh_tw': '吉祥大樓', 'En': 'Jixiang Building'}","{'PositionLon': 121.458692, 'PositionLat': 25.068985, 'GeoHash': 'wsqqeget2'}",五股一路吉祥大樓(向東),E,3717,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10361,10361,5,"{'Zh_tw': '興化國小', 'En': 'Xinghua Elementary School'}","{'PositionLon': 121.46218, 'PositionLat': 25.0672, 'GeoHash': 'wsqqegq51'}",五工一路62巷2號同向(向東),E,3767,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
NWT10362,10362,5,"{'Zh_tw': '台貿二村', 'En': 'Taimao Village 2'}","{'PositionLon': 121.46511, 'PositionLat': 25.06436, 'GeoHash': 'wsqqs4b4q'}",化成路537號同向(向南),N,3519,NewTaipei,NWT,NWT,2022-03-19T01:33:28+08:00,1970
